file,Kincaid,ARI,Coleman-Liau,FleschReadingEase,GunningFogIndex,LIX,SMOGIndex,RIX,DaleChallIndex,total_words,total_sentences,total_characters,passive_voice,active_voice,passive_toks,active_toks,verbs,nouns,adjectives,adverbs,prepositions,auxiliaries,conjunctions,coord_conjunctions,determiners,interjections,numbers,particles,pronouns,proper_nouns,punctuations,subordinating_conjunctions,symbols,other,money,persons,norp,facilities,organizations,gpe,products,events,works,languages,dates,times,quantities,ordinals,cardinals,percentages,stopwords,locations,laws,characters_per_word,syll_per_word,words_per_sentence,sentences_per_paragraph,type_token_ratio,characters,syllables,words,wordtypes,sentences,paragraphs,long_words,complex_words,complex_words_dc,tobeverb,auxverb,conjunction,nominalization
NCT02092467.txt_accumulated_section18.txt,52.995566835871415,66.97975042301184,12.365832262690354,-50.970617597292716,60.3844331641286,157.77157360406093,30.80887148615228,34.72222222222222,18.526547038917087,2470,118,14486,65,18,36,115,164,877,255,26,294,86,0,77,174,1,137,37,3,228,601,16,26,51,0,4,0,0,72,2,0,0,1,0,34,0,38,11,80,12,788,0,0,4.8286802030456855,1.47165820642978,131.33333333333334,18.0,0.17597292724196278,11415,3479,2364,416,18,1,625,464,1254,75,0,69,87
NCT02092467.txt_accumulated_section2.txt,50.508906249999995,64.22496093749999,11.00157907421875,-39.079531249999974,59.0125,151.046875,30.386127875258307,29.5,18.127018749999998,273,11,1514,6,2,3,12,15,98,24,5,33,8,0,7,22,0,19,8,0,25,72,2,2,3,0,2,0,0,13,0,0,0,0,0,3,0,10,1,11,4,93,0,0,4.59765625,1.37109375,128.0,2.0,0.46875,1177,351,256,120,2,1,59,50,132,7,0,6,14
NCT02092467.txt_accumulated_section3.txt,54.221527093596066,68.58016420361247,11.873657049261084,-52.63572249589487,62.31067323481117,159.9638752052545,31.809720581775867,33.333333333333336,18.01068357963875,430,18,2438,10,3,6,19,26,159,46,5,51,15,0,13,42,0,20,9,0,31,95,4,3,3,0,2,0,0,15,0,0,0,0,0,6,0,10,2,11,4,153,0,0,4.74384236453202,1.4433497536945812,135.33333333333334,3.0,0.3522167487684729,1926,586,406,143,3,1,100,83,197,13,0,11,20
NCT02092467.txt_accumulated_section4.txt,54.370619266055044,68.90545871559632,11.709045449541286,-52.07196100917429,63.013761467889914,161.02064220183487,32.495762407505254,33.75,18.680628440366974,583,23,3282,11,4,6,25,32,204,63,10,70,16,0,16,47,0,38,16,0,51,149,4,6,6,0,3,0,0,27,0,0,0,0,0,6,0,20,2,22,8,195,0,0,4.715596330275229,1.4256880733944954,136.25,4.0,0.26605504587155965,2570,777,545,145,4,1,135,116,286,14,0,14,31
NCT02092467.txt_accumulated_section5.txt,54.00013017751479,68.46585798816568,11.813969372781063,-51.285899408283996,62.30485207100592,159.75621301775146,31.879058156387302,33.2,18.23742,717,30,4068,17,5,10,31,42,258,73,10,85,24,0,21,65,0,39,17,0,59,172,6,7,6,0,3,0,0,29,0,0,0,0,0,9,0,20,3,22,8,250,0,0,4.733727810650888,1.4289940828402368,135.2,5.0,0.22928994082840237,3200,966,676,155,5,1,166,139,338,21,0,18,35
NCT02092467.txt_accumulated_section7.txt,49.015315497223625,61.83084300858153,12.19099996584217,-40.33007067137807,56.38236580851423,146.02069661786976,29.752836965717965,30.0,17.575168955073195,897,37,5174,24,6,11,40,54,326,92,12,111,31,0,27,73,0,43,18,0,80,217,6,8,9,0,3,0,0,32,0,0,0,0,0,12,0,20,4,25,8,304,0,0,4.8021201413427566,1.4664310954063604,121.28571428571429,7.0,0.23439340400471143,4077,1245,849,199,7,1,210,167,426,27,0,23,39
NCT02092467.txt_accumulated_section8.txt,51.14902390438246,64.28359561752987,12.6306426185259,-48.12160358565734,58.24780876494024,151.29681274900398,30.52271788904577,32.375,17.77202709163347,1054,46,6173,29,9,12,48,70,385,112,15,133,37,0,36,76,0,44,23,1,90,244,6,9,9,0,3,0,0,36,1,0,0,0,0,14,0,20,6,25,8,359,0,0,4.875498007968128,1.5079681274900398,125.5,8.0,0.23207171314741035,4895,1514,1004,233,8,1,259,202,503,31,0,32,52
NCT02092467.txt_accumulated_section9.txt,51.125216622458,64.31200707338638,12.562392137046867,-47.65406719717062,58.153492484526964,151.13085764809904,30.26414006223804,32.0,17.60401405835544,1184,54,6930,34,10,16,54,80,437,120,15,150,45,0,38,94,0,45,24,1,98,267,8,10,10,0,3,0,0,37,1,0,0,1,0,14,0,20,7,26,8,413,0,0,4.863837312113175,1.5004420866489832,125.66666666666667,9.0,0.21220159151193635,5501,1697,1131,240,9,1,288,223,554,38,0,34,54
NCT02130557.txt,40.42790777849601,49.903387201034256,13.818179657616895,-26.089140271493193,46.452833441068734,124.27687998276232,27.669240534954223,28.0,17.19387608274079,721,27,4169,33,3,17,19,55,197,62,15,118,25,0,24,30,0,50,6,7,99,108,2,15,10,0,4,0,0,46,2,12,0,0,0,25,0,0,2,36,4,229,3,4,5.090497737556561,1.616892911010558,94.71428571428571,7.0,0.4343891402714932,3375,1072,663,288,7,1,196,142,372,24,1,24,33
NCT02130557.txt_accumulated_section3.txt,47.509048991354476,60.021200768491845,13.42737726801153,-39.539000960614786,54.22055715658021,143.04418828049953,29.267851073127396,31.666666666666668,18.110396637848226,387,14,2168,17,0,8,11,26,113,33,7,59,13,0,13,18,0,26,4,3,49,64,2,10,8,0,3,0,0,26,0,8,0,0,0,17,0,0,2,22,2,124,1,4,5.014409221902017,1.5244956772334295,115.66666666666667,3.0,0.5331412103746398,1740,529,347,185,3,1,95,69,192,13,0,13,17
NCT02130557.txt_accumulated_section4.txt,52.77597276264592,66.13175097276263,13.070775424124516,-54.44269455252916,59.960311284046696,156.12645914396887,31.722813232690143,35.5,18.55021673151751,567,20,3164,26,1,13,15,42,162,47,10,100,19,0,19,22,0,40,4,5,66,83,2,15,10,0,4,0,0,39,1,8,0,0,0,25,0,0,2,31,4,187,1,4,4.9494163424124515,1.546692607003891,128.5,4.0,0.46108949416342415,2544,795,514,237,4,1,142,110,278,19,0,19,28
NCT02130557.txt_accumulated_section5.txt,51.611935483870965,64.38588709677418,13.691770975806453,-54.1120967741935,58.438709677419354,152.8709677419355,31.6705423736629,35.8,18.573270967741934,675,25,3881,30,1,16,19,51,189,60,14,113,23,0,23,27,0,47,5,7,84,100,2,15,10,0,4,0,0,46,2,8,0,0,0,25,0,0,2,35,4,217,3,4,5.056451612903226,1.596774193548387,124.0,5.0,0.42096774193548386,3135,990,620,261,5,1,179,137,345,23,0,23,32
